,URL,Category,RawCategory,WhatIsIt,City
185,https://www.getyourguide.com/s?q=Berlin&themes=architecture,Architecture,architecture,Intrests,Berlin
186,https://www.getyourguide.com/s?q=Berlin&themes=late_modern_history,Late modern history,late_modern_history,Intrests,Berlin
187,https://www.getyourguide.com/s?q=Berlin&themes=world_war_ii,World War II,world_war_ii,Intrests,Berlin
188,https://www.getyourguide.com/s?q=Berlin&themes=art,Art,art,Intrests,Berlin
189,https://www.getyourguide.com/s?q=Berlin&themes=cold_war,Cold war,cold_war,Intrests,Berlin
190,https://www.getyourguide.com/s?q=Berlin&themes=music,Music,music,Intrests,Berlin
191,https://www.getyourguide.com/s?q=Berlin&themes=children_s_activities,Children's activities,children_s_activities,Intrests,Berlin
192,https://www.getyourguide.com/s?q=Berlin&themes=activities_for_couples,Activities for couples,activities_for_couples,Intrests,Berlin
193,https://www.getyourguide.com/s?q=Berlin&themes=plaza_square,Squares & plazas,plaza_square,Intrests,Berlin
194,https://www.getyourguide.com/s?q=Berlin&themes=museum,Museums,museum,Intrests,Berlin
195,https://www.getyourguide.com/s?q=Berlin&themes=landmark,Landmarks,landmark,Intrests,Berlin
196,https://www.getyourguide.com/s?q=Berlin&themes=park_or_garden,Parks & gardens,park_or_garden,Intrests,Berlin
197,https://www.getyourguide.com/s?q=Berlin&themes=monument,Monuments,monument,Intrests,Berlin
198,https://www.getyourguide.com/s?q=Berlin&themes=memorial,Memorials,memorial,Intrests,Berlin
199,https://www.getyourguide.com/s?q=Berlin&themes=river,Rivers,river,Intrests,Berlin
200,https://www.getyourguide.com/s?q=Berlin&themes=theater,Theaters & concert halls,theater,Intrests,Berlin
201,https://www.getyourguide.com/s?q=Berlin&themes=shopping_mall,Shopping malls,shopping_mall,Intrests,Berlin
202,https://www.getyourguide.com/s?q=Berlin&themes=tower,Towers & viewing platforms,tower,Intrests,Berlin
203,https://www.getyourguide.com/s?q=Berlin&themes=bus_coach,Bus / coach,bus_coach,Intrests,Berlin
204,https://www.getyourguide.com/s?q=Berlin&themes=public,Public transport,public,Intrests,Berlin
205,https://www.getyourguide.com/s?q=Berlin&themes=car,Car,car,Intrests,Berlin
206,https://www.getyourguide.com/s?q=Berlin&themes=bicycle,Bike,bicycle,Intrests,Berlin
207,https://www.getyourguide.com/s?q=Berlin&themes=on_foot,On foot,on_foot,Intrests,Berlin
208,https://www.getyourguide.com/s?q=Berlin&themes=van,Van,van,Intrests,Berlin
209,https://www.getyourguide.com/s?q=Berlin&themes=sightseeing_cruise,Sightseeing cruise,sightseeing_cruise,Intrests,Berlin
210,https://www.getyourguide.com/s?q=Berlin&themes=pedicab_rickshaw,Pedicab / rickshaw,pedicab_rickshaw,Intrests,Berlin
211,https://www.getyourguide.com/s?q=Berlin&themes=segway,Segway,segway,Intrests,Berlin
212,https://www.getyourguide.com/s?q=Berlin&themes=train,Train,train,Intrests,Berlin
213,https://www.getyourguide.com/s?q=Berlin&lc=l3089,Brandenburg Gate,3089,Destination,Berlin
214,https://www.getyourguide.com/s?q=Berlin&lc=l2702,Berlin Wall,2702,Destination,Berlin
215,https://www.getyourguide.com/s?q=Berlin&lc=l2701,Reichstag,2701,Destination,Berlin
216,https://www.getyourguide.com/s?q=Berlin&lc=l3413,Checkpoint Charlie,3413,Destination,Berlin
217,https://www.getyourguide.com/s?q=Berlin&lc=l3420,Potsdamer Platz,3420,Destination,Berlin
218,https://www.getyourguide.com/s?q=Berlin&lc=l3097,Berlin Cathedral,3097,Destination,Berlin
219,https://www.getyourguide.com/s?q=Berlin&lc=l3088,Gendarmenmarkt,3088,Destination,Berlin
220,https://www.getyourguide.com/s?q=Berlin&lc=l3411,Alexanderplatz,3411,Destination,Berlin
221,https://www.getyourguide.com/s?q=Berlin&lc=l3087,Holocaust Memorial,3087,Destination,Berlin
222,https://www.getyourguide.com/s?q=Berlin&lc=l4285,TV Tower,4285,Destination,Berlin
223,https://www.getyourguide.com/s?q=Cancun,Global,Global,Category,Cancun
224,https://www.getyourguide.com/s?q=Cancun&activity_type=entryTicket,Entry tickets,entryTicket,Category,Cancun
225,https://www.getyourguide.com/s?q=Cancun&activity_type=guidedTour,Guided tours,guidedTour,Category,Cancun
226,https://www.getyourguide.com/s?q=Cancun&activity_type=waterActivity,Water activities,waterActivity,Category,Cancun
227,https://www.getyourguide.com/s?q=Cancun&activity_type=dayTrip,Day trips,dayTrip,Category,Cancun
228,https://www.getyourguide.com/s?q=Cancun&activity_type=transfer,Transfers,transfer,Category,Cancun
229,https://www.getyourguide.com/s?q=Cancun&activity_type=adventure,Adventures,adventure,Category,Cancun
230,https://www.getyourguide.com/s?q=Cancun&activity_type=privateTour,Private tours,privateTour,Category,Cancun
231,https://www.getyourguide.com/s?q=Cancun&activity_type=cityCard,City cards,cityCard,Category,Cancun
232,https://www.getyourguide.com/s?q=Cancun&activity_type=other,Other experiences,other,Category,Cancun
233,https://www.getyourguide.com/s?q=Cancun&activity_type=workshopOrClass,Workshops & classes,workshopOrClass,Category,Cancun
234,https://www.getyourguide.com/s?q=Cancun&activity_type=multiDayTrip,Multi-day trips,multiDayTrip,Category,Cancun
235,https://www.getyourguide.com/s?q=Cancun&themes=outdoor,Outdoor,outdoor,Intrests,Cancun
236,https://www.getyourguide.com/s?q=Cancun&themes=nature,Nature,nature,Intrests,Cancun
237,https://www.getyourguide.com/s?q=Cancun&themes=water_activities,Water activities,water_activities,Intrests,Cancun
238,https://www.getyourguide.com/s?q=Cancun&themes=water_sports,Water sports,water_sports,Intrests,Cancun
239,https://www.getyourguide.com/s?q=Cancun&themes=safaris_wildlife,Safaris & wildlife,safaris_wildlife,Intrests,Cancun
240,https://www.getyourguide.com/s?q=Cancun&themes=snorkeling,Snorkeling,snorkeling,Intrests,Cancun
241,https://www.getyourguide.com/s?q=Cancun&themes=local_culture,Local culture,local_culture,Intrests,Cancun
242,https://www.getyourguide.com/s?q=Cancun&themes=conservation,Conservation,conservation,Intrests,Cancun
243,https://www.getyourguide.com/s?q=Cancun&themes=cenotes,Cenotes,cenotes,Intrests,Cancun
244,https://www.getyourguide.com/s?q=Cancun&themes=adrenaline,Adrenaline,adrenaline,Intrests,Cancun
245,https://www.getyourguide.com/s?q=Cancun&themes=children_s_activities,Children's activities,children_s_activities,Intrests,Cancun
246,https://www.getyourguide.com/s?q=Cancun&themes=activities_for_couples,Activities for couples,activities_for_couples,Intrests,Cancun
247,https://www.getyourguide.com/s?q=Cancun&themes=historic_and_archeological,Historic ruins & archaeological sites,historic_and_archeological,Intrests,Cancun
248,https://www.getyourguide.com/s?q=Cancun&themes=island,Islands,island,Intrests,Cancun
249,https://www.getyourguide.com/s?q=Cancun&themes=airport,Airports,airport,Intrests,Cancun
