,URL,Category,RawCategory,MatchCategory,City
292,https://www.viator.com/Lisbon-tours/Full-day-Tours/d538-g12-c94,Full-day Tours,/Lisbon-tours/Full-day-Tours/d538-g12-c94,Full-day-Tours,Lisbon
293,https://www.viator.com/Lisbon-tours/Cruises-Sailing-and-Water-Tours/d538-g3,Cruises & Sailing,/Lisbon-tours/Cruises-Sailing-and-Water-Tours/d538-g3,Cruises-Sailing-and-Water-Tours,Lisbon
294,https://www.viator.com/Lisbon-tours/Port-Transfers/d538-g24-c4032,Shore Excursions,/Lisbon-tours/Port-Transfers/d538-g24-c4032,Port-Transfers,Lisbon
295,https://www.viator.com/Lisbon-tours/Car-Tours/d538-tag21733,Car Tours,/Lisbon-tours/Car-Tours/d538-tag21733,Car-Tours,Lisbon
296,https://www.viator.com/Lisbon-tours/Half-day-Tours/d538-g12-c95,Half-day Tours,/Lisbon-tours/Half-day-Tours/d538-g12-c95,Half-day-Tours,Lisbon
297,https://www.viator.com/Lisbon-tours/Luxury-Car-Tours/d538-tag21736,Luxury Car Tours,/Lisbon-tours/Luxury-Car-Tours/d538-tag21736,Luxury-Car-Tours,Lisbon
298,https://www.viator.com/Lisbon-tours/Luxury-Tours/d538-g25-c113,Private and Luxury,/Lisbon-tours/Luxury-Tours/d538-g25-c113,Luxury-Tours,Lisbon
299,https://www.viator.com/Lisbon-tours/Transfers-and-Ground-Transport/d538-g15,Travel & Transportation Services,/Lisbon-tours/Transfers-and-Ground-Transport/d538-g15,Transfers-and-Ground-Transport,Lisbon
300,https://www.viator.com/Lisbon-tours/Outdoor-Activities/d538-g9,Outdoor Activities,/Lisbon-tours/Outdoor-Activities/d538-g9,Outdoor-Activities,Lisbon
301,https://www.viator.com/Lisbon-tours/City-Tours/d538-g12-c5330,City Tours,/Lisbon-tours/City-Tours/d538-g12-c5330,City-Tours,Lisbon
302,https://www.viator.com/Lisbon-tours/LTSO-Viator-Market-Driven-Merchandising/d538-tag22083,Likely To Sell Out,/Lisbon-tours/LTSO-Viator-Market-Driven-Merchandising/d538-tag22083,LTSO-Viator-Market-Driven-Merchandising,Lisbon
